objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll002,oocihm.lac_reel_c4715.1156,,,"List of Immigrant Children, 607003, p. 1","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Toronto, Niagara, and Peterborough; The form has been filled in by hand, there is a strikethough the names of the children in the bottom half of the document.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1156,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll003,oocihm.lac_reel_c4715.1157.jpg,,,"List of Immigrant Children, 607003, p. 2","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Toronto, Niagara, and Peterborough; The form has been filled in by hand, there is a strikethough the names of the children in the bottom half of the document",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1157,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll004,oocihm.lac_reel_c4715.1158.jpg,,,"List of Immigrant Children, 607003, p.3","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-05,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Form is filled in by hand",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion; Girl's home,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 5, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1158,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll005,oocihm.lac_reel_c4715.1159.jpg,,,"List of Immigrant Children, 607003, p. 4","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-05,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Form is filled in by hand; Alfred F. Jury",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion; Girl's home,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 5, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1159,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll006,oocihm.lac_reel_c4715.1160.jpg,,,"List of Immigrant Children, p. 1","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Toronto and Peterborough; The form has been filled in by hand, there is a strikethough the names of the children",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1160,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll007,oocihm.lac_reel_c4715.1161.jpg,,,"List of Immigrant Children, p. 2","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Toronto and Peterborough; The form has been filled in by hand, there is a strikethough the names of the children",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1161,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll008,oocihm.lac_reel_c4715.1162.jpg,,,"List of Immigrant Children, p. 3","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Form is filled in by hand; there is a strikethough the names of the children",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1162,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll009,oocihm.lac_reel_c4715.1163.jpg,,,"List of Immigrant Children, p. 4","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Form is filled in by hand; there is a strikethough the names of the children",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1163,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll010,oocihm.lac_reel_c4715.1164.jpg,,,"List of Immigrant Children, p. 5","Dr. Barnardo's Homes; Owen, Alfred B.",1906-05-24,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Form is filled in by hand; there is a strikethough the names of the children",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, May 24, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1164,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll011,oocihm.lac_reel_c4715.1165.jpg,,,"List of Immigrant Children, p. 6","Dr. Barnardo's Homes; Owen, Alfred B.",1906-05-24,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Form is filled in by hand; there is a strikethough the names of the children; Alfred F. Jury",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, May 24, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1165,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll012,oocihm.lac_reel_c4715.1166.jpg,,,"List of Immigrant Children, 607003, p. 1","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Form is filled in by hand; some text is typed; form author attests children have passed medical inspection",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion; UK Workhouse Unions; Stanford Union; Westminster Union; St. George's Union; Sheffield Union; Southam Union; Preston Union; Elham Union; Berkhamstead Union; inspection,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1166,Image; Ship manifest; Handwritten; Typed,image/jpeg,eng,Public domain,CC-BY-4.0
coll013,oocihm.lac_reel_c4715.1167.jpg,,,"List of Immigrant Children, 607003, p. 2","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Form is filled in by hand; some text is typed; Alfred F. Jury",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion; UK Workhouse Unions; Sheffield Union; Preston Union; Middlesbrough Union; Newport Union; inspection,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1167,Image; Ship manifest; Handwritten; Typed,image/jpeg,eng,Public domain,CC-BY-4.1
coll014,oocihm.lac_reel_c4715.1168.jpg,,,"List of Immigrant Children, p. 1","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Toronto and Peterborough distribution homes; Form is filled in by hand; some text is typed; form author attests children have passed medical inspection","Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion; UK Workhouse Unions; Sheffield Union; Newport Union, Woolwich Union; Walsingham Union; inspection","Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1168,Image; Ship manifest; Handwritten; Typed,image/jpeg,eng,Public domain,CC-BY-4.2
coll015,oocihm.lac_reel_c4715.1169.jpg,,,"List of Immigrant Children, p. 2","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,Continuation of 1168; Form is filled in by hand; some text is typed; no children listed on page; Alfred F. Jury,Dr. Barnardo’s Homes; inspection,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1169,Image; Ship manifest; Handwritten; Typed,image/jpeg,eng,Public domain,CC-BY-4.3
coll016,oocihm.lac_reel_c4715.1170.jpg,,,"Letter from Alfred B. Owen to G. Bogue Smart, Esq. of Department of the Interior","Dr. Barnardo's Homes; Owen, Alfred B.",1906-08-14,Typed; Letter to G. Bogue Smart; Canada; Department of the Interior; Response to request for statistics on number of children sent to Canada through Barnardo Homes during 1906 fiscal year; Alfred B. Owen,Dr. Barnardo’s Homes; Department of the Interior; governance; statistics,"Toronto, Canada",43.646305,-79.405358,"Barnardo Homes. Letter to Canadian Department of Interior, August 14, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1170,Image; Letter; Typed,image/jpeg,eng,Public domain,CC-BY-4.4
coll017,oocihm.lac_reel_c4715.1171.jpg,,,"List of Immigrant Children, p. 1","Dr. Barnardo's Homes; Owen, Alfred B.",1906-05-07,List of children sent from Liverpool to Dr. Barnardo Homes distribution centers in Toronto and Peterborough; Form is typed; Signed by Alfred B. Owen and S.G. Crowall,Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Friesland; Girl's Home,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, May 7, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1171,Image; Ship manifest; typed,image/jpeg,eng,Public domain,CC-BY-4.5
coll018,oocihm.lac_reel_c4715.1172.jpg,,,"List of Immigrant Children, p. 2","Dr. Barnardo's Homes; Owen, Alfred B.",1906-05-07,Continuation of 1171 list of children sent from Liverpool to Dr. Barnardo Homes distribution centers in Toronto and Peterborough; Form is typed,Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Friesland; Girl's Home,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, May 7, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1172,Image; Ship manifest; typed,image/jpeg,eng,Public domain,CC-BY-4.6
coll019,oocihm.lac_reel_c4715.1173.jpg,,,"List of Immigrant Children, p. 1","Dr. Barnardo's Homes; Owen, Alfred B.",1906-04-18,Form A; Page is empty or indecipherable,Dr. Barnardo’s Homes,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, April 18, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1173,Image; ,image/jpeg,eng,Public domain,CC-BY-4.7
coll020,oocihm.lac_reel_c4715.1174.jpg,,,"List of Immigrant Children, p. 2","Dr. Barnardo's Homes; Owen, Alfred B.",1906-04-18,Continuation of list of children; children in care of a Miss Gibbs; Form is typed,Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Friesland,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, April 18, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1174,Image; Ship manifest; typed,image/jpeg,eng,Public domain,CC-BY-4.8
coll021,oocihm.lac_reel_c4715.1175.jpg,,,"List of Immigrant Children, 512925","Dr. Barnardo's Homes; Owen, Alfred B.",1906-05-07,"List of Barnardo Home Children sent to Toronto and Peterborough distribution homes from Liverpool, England; Form is filled in by hand; some text is typed; form author attests children have passed medical inspection; children in care of a Miss Gibbs; Alfred F. Jury; cannot make out final Workhouse Union on page",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Friesland; UK Workhouse Unions; Lichfield Union; Southamstead Union; Leeds Union; Horsham Union; ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, May 7, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1175,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.9
coll022,oocihm.lac_reel_c4715.1176.jpg,,,"List of Immigrant Children, 488564, p. 1","Dr. Barnardo's Homes; Owen, Alfred B.",1906-03-27,"List of Barnardo Home Children sent to Toronto and Peterborough; The form has been filled in by hand, there is a strikethough the names of the children in the bottom half of the document; John Hoolahan",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, March 27, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1176,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.10
coll023,oocihm.lac_reel_c4715.1177.jpg,,,"List of Immigrant Children, 488564, p. 2","Dr. Barnardo's Homes; Owen, Alfred B.",1906-03-27,"Continuation of 1176 list of Barnardo Home Children sent to Toronto and Peterborough; The form has been filled in by hand, there is a strikethough the names of the children in the bottom half of the document",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, March 27, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1177,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.11
coll024,oocihm.lac_reel_c4715.1178.jpg,,,"List of Immigrant Children, 488564, p. 3","Dr. Barnardo's Homes; Owen, Alfred B.",1906-03-27,"List of children sent from Liverpool to Dr. Barnardo Homes distribution centers in Toronto, Peterborough, Winnipeg, and Manitoba; Form is filled in by hand; strikethrough names",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, March 27, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1178,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.12
coll025,oocihm.lac_reel_c4715.1179.jpg,,,"List of Immigrant Children, 488564, p. 4","Dr. Barnardo's Homes; Owen, Alfred B.",1906-03-27,"Continuation of 1178 list of children sent from Liverpool to Dr. Barnardo Homes distribution centers in Toronto, Peterborough, Winnipeg, and Manitoba; Form is filled in by hand; strikethrough names",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, March 27, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1179,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.13
coll026,oocihm.lac_reel_c4715.1180.jpg,,,"List of Immigrant Children, 488564, p. 5","Dr. Barnardo's Homes; Owen, Alfred B.",1906-03-27,"Continutation of list of children sent from Liverpool to Dr. Barnardo Homes distribution centers in Toronto, Peterborough, Winnipeg, and Manitoba; Form is filled in by hand; strikethrough names",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, March 27, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1180,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.14
coll027,oocihm.lac_reel_c4715.1181.jpg,,,"List of Immigrant Children, 488564, p. 6","Dr. Barnardo's Homes Owen, Alfred B.; Hoolahan, John",1906-03-27,"List of Barnardo Home Children leaving London; The form has been filled in by hand, there is a strike through the names of three children as well as check marks beside the names of all children.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. ",oocihm.lac_reel_c4715.1181,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.15
coll028,oocihm.lac_reel_c4715.1182.jpg,,,"List of Immigrant Children, 488564, p. 7","Dr. Barnardo's Homes Owen, Alfred B.; Hoolahan, John",1906-03-27,"List of Barnardo Home Children sent to Toronto, Peterborough, Winnipeg, Manitoba; The form has been filled in by hand.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, March 8, 1906, p. 1. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n",oocihm.lac_reel_c4715.1182,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.16
coll029,oocihm.lac_reel_c4715.1183.jpg,,,"List of Immigrant Children, 488564, p. 8","Dr. Barnardo's Homes Hoolahan, John; Fleury, Alfred ",1906-03-27,"List of Barnardo Home Children sent to Toronto, Peterborough, Winnipeg, Manitoba; The form has been filled in by hand and includes a written note in the margin.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, March 8, 1906, p. 2. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n",oocihm.lac_reel_c4715.1183,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.17
coll030,oocihm.lac_reel_c4715.1184.jpg,,,"List of Immigrant Children, 488564, p. 9","Dr. Barnardo's Homes Owen, Alfred B.; Hoolahan, John",1906-03-27,List of Barnardo Home Children received in Montreal; The form has been filled in by hand. ,Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Montreal, Canada",45.50265,-73.57211,"Barnardo Homes. Form B, March 27, 1906, p. 1. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n",oocihm.lac_reel_c4715.1184,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.18
coll031,oocihm.lac_reel_c4715.1185.jpg,,,"List of Immigrant Children, 488564, p. 10","Dr. Barnardo's Homes Fleury, Alfred; Hoolahan, John",1906-03-27,List of Barnardo Home Children received in Montreal; The form has been filled in by hand. ,Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Montreal, Canada",45.50265,-73.57211,"Barnardo Homes. Form B, March 27, 1906, p. 2. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n",oocihm.lac_reel_c4715.1185,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.19
coll032,oocihm.lac_reel_c4715.1186.jpg,,,"List of Immigrant Children, 441484, p. 1","Dr. Barnardo's Homes Owen, Alfred B.; Fleury, Alfred",1905-10-26,List of single Barnardo Home Child sent to Peterborough; The form has been filled in by hand.,Dr. Barnardo’s Homes; passenger list; child identification; child origins ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, October 26, 1905, p. 1. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n",oocihm.lac_reel_c4715.1186,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.20
coll033,oocihm.lac_reel_c4715.1187.jpg,,,"List of Immigrant Children, 441484, p. 2",Dr. Barnardo's Homes P. S.,1905-10-26,Form certifying that a child is desirable to Canada; The form has been filled in by hand.,Dr. Barnardo’s Homes; passenger list; child identification; child origins ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, October 26, 1905, p. 2, Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n",oocihm.lac_reel_c4715.1187,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.21
coll034,oocihm.lac_reel_c4715.1188.jpg,,,"Dr. Barnardo's Homes Colonization Scheme, p. 1","Dr. Barnardo's Homes Barnardo, T. J.",1890------,"Cover page of a book title ""Dr. Barnardo's Homes Colonization Scheme"" in italicized font centered on the cover.",Dr. Barnardo's Homes; Barnardo Industrial Farm; Governance,"Peterborough, Canada",44.30557,-78.31346,"Dr. Barnardo's Homes Colonization Scheme. Cover page, 1890. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n",oocihm.lac_reel_c4715.1188,Image; Typed; Report,image/jpeg,eng,Public domain,CC-BY-4.22
coll035,oocihm.lac_reel_c4715.1189.jpg,,,"Dr. Barnardo's Homes Colonization Scheme, p. 2","Dr. Barnardo's Homes Barnardo, T. J.",1890------,"Table of contents page from ""Dr. Barnardo's Homes Colonization Scheme""; The page includes typed text in various fonts and sizes.",Dr. Barnardo's Homes; Barnardo Industrial Farm; Governance,"Peterborough, Canada",44.30557,-78.31346,"Dr. Barnardo's Homes Colonization Scheme. Table of contents page, 1890. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n",oocihm.lac_reel_c4715.1189,Image; Typed; Report,image/jpeg,eng,Public domain,CC-BY-4.23
coll036,oocihm.lac_reel_c4715.1190.jpg,,,"Dr. Barnardo's Homes Colonization Scheme, p. 3","Dr. Barnardo's Homes Barnardo, T. J.",1890------,"Page from ""Dr. Barnardo's Homes Colonization Scheme""; The page is typed out in large blocks of text with headings.",Dr. Barnardo's Homes; Barnardo Industrial Farm; Governance,"Peterborough, Canada",44.30557,-78.31346,"Dr. Barnardo's Homes Colonization Scheme. P. 3, 1890. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n",oocihm.lac_reel_c4715.1190,Image; Typed; Report,image/jpeg,eng,Public domain,CC-BY-4.24
coll037,oocihm.lac_reel_c4715.1191.jpg,,,"Dr. Barnardo's Homes Colonization Scheme, pp. 4-5","Dr. Barnardo's Homes Barnardo, T. J.",1890------,"Pages from ""Dr. Barnardo's Homes Colonization Scheme""; The pages are typed out in large blocks of text with headings.",Dr. Barnardo's Homes; Barnardo Industrial Farm; Governance,"Peterborough, Canada",44.30557,-78.31346,"Dr. Barnardo's Homes Colonization Scheme. P. 4-5, 1890. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n",oocihm.lac_reel_c4715.1191,Image; Typed; Report,image/jpeg,eng,Public domain,CC-BY-4.25
coll038,oocihm.lac_reel_c4715.1192.jpg,,,"Dr. Barnardo's Homes Colonization Scheme, pp. 6-7","Dr. Barnardo's Homes Barnardo, T. J.",1890------,"Pages from ""Dr. Barnardo's Homes Colonization Scheme""; The pages are typed out in large blocks of text with headings.",Dr. Barnardo's Homes; Barnardo Industrial Farm; Governance,"Peterborough, Canada",44.30557,-78.31346,"Dr. Barnardo's Homes Colonization Scheme. P. 6-7, 1890. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n",oocihm.lac_reel_c4715.1192,Image; Typed; Report,image/jpeg,eng,Public domain,CC-BY-4.26
coll039,oocihm.lac_reel_c4715.1193.jpg,,,"Dr. Barnardo's Homes Colonization Scheme, pp. 8-9","Dr. Barnardo's Homes Barnardo, T. J.",1890------,"Pages from ""Dr. Barnardo's Homes Colonization Scheme""; The pages are typed out in large blocks of text with headings; The second page includes a table with list of expenses in the left-most column and dollar amounts in the other columns.",Dr. Barnardo's Homes; Barnardo Industrial Farm; Governance,"Peterborough, Canada",44.30557,-78.31346,"Dr. Barnardo's Homes Colonization Scheme. P. 8-9, 1890. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n",oocihm.lac_reel_c4715.1193,Image; Typed; Report,image/jpeg,eng,Public domain,CC-BY-4.27
coll040,oocihm.lac_reel_c4715.1194.jpg,,,"Dr. Barnardo's Homes Colonization Scheme, pp. 10-11","Dr. Barnardo's Homes Barnardo, T. J.",1890------,"Pages from ""Dr. Barnardo's Homes Colonization Scheme""; The pages are typed out in large blocks of text; The second page is left blank.",Dr. Barnardo's Homes; Barnardo Industrial Farm; Governance,"Peterborough, Canada",44.30557,-78.31346,"Dr. Barnardo's Homes Colonization Scheme. P. 10-11, 1890. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n",oocihm.lac_reel_c4715.1194,Image; Typed; Report,image/jpeg,eng,Public domain,CC-BY-4.28
coll041,oocihm.lac_reel_c4715.1195.jpg,,,"List of Immigrant Children, 426549, p. 2","Dr. Barnardo's Homes Barnardo, T. J.",1905-10-07,Blank page with ink from previous pages bleeding onto it.,Dr. Barnardo's Homes,"Liverpool, England",53.440608,-3.003598,,oocihm.lac_reel_c4715.1195,Image,image/jpeg,eng,Public domain,CC-BY-4.29
