objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll165,oocihm.lac_reel_c4715.1319.jpg,,,"List of Immigrant Children, 217622, p. 1","Dr. Barnardo's Homes; Owen, Alfred B.; Hoolahan, John",1902-07-26,"List of 6 Barnardo Home Children arriving at Montreal via Boston, Mass., aboard the SS New England, and bound for Toronto, Peterborough, Winnepeg, and Russell, MB. The form is filled in by hand, but the list of girls' names is typed. The girls cam from the Stepney home, and Causway, London vial the Girls' Village Home.  ",Dr. Barnardo's Homes; passenger list; child identification; child origins; SS New England; Village Home,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n ",oocihm.lac_reel_c4715.1319,Image; Ship manifest; Typed,image/jpeg,eng,Public domain,CC-BY-4.153
coll166,oocihm.lac_reel_c4715.1320.jpg,,,"List of Immigrant Children, p. 1",Dr. Barnardo's Homes,1902-07-26,"List of Barnardo Home Children traveling from Liverpool to Boston, then sent to distributing homes in Toronto, Peterborough, Winnipeg, and Russel; The form has been filled by hand and is difficult to read in spots due to ink transfer from other side of page.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; Village Home; Hazel Brae; SS New England,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1320,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.154
coll167,oocihm.lac_reel_c4715.1321.jpg,,,"List of Immigrant Children, p. 2",Dr. Barnardo's Homes,1902-07-26,"List of Barnardo Home Children traveling from Liverpool to Boston, then sent to distributing homes in Toronto, Peterborough, Winnipeg, and Russel; The form has been filled by hand, with a typed note that is crossed out certifying the children as being ""a desirable class.""",Dr. Barnardo’s Homes; passenger list; child identification; child origins; Village Home; Hazel Brae; SS New England,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1321,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.155
coll168,oocihm.lac_reel_c4715.1322.jpg,,,"List of Immigrant Children, p. 3",Dr. Barnardo's Homes,1902-07-26,"List of Barnardo Home Children traveling from Liverpool to Boston, then sent to distributing homes in Toronto, Peterborough, Winnipeg, and Russel; The form is filled in by hand, with the top half of the document stiked through and the word continuation written largely across it.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; Village Home; Hazel Brae; SS New England,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1322,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.156
coll169,oocihm.lac_reel_c4715.1323.jpg,,,"List of Immigrant Children, p. 4",Dr. Barnardo's Homes,1902-07-26,"List of Barnardo Home Children traveling from Liverpool to Boston, then sent to distributing homes in Toronto, Peterborough, Winnipeg, and Russel; The form is filled in by hand.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; Village Home; Hazel Brae; SS New England,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1323,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.157
coll170,oocihm.lac_reel_c4715.1324.jpg,,,"List of Immigrant Children, 217621, p. 1","Dr. Barnardo's Homes; Hoolihan, John",1902-07-26,"List of Barnardo Home Children traveling from Liverpool to Boston, then sent to distributing homes in Toronto, Peterborough, Winnipeg, and Russel; The top of the form is filled in by hand, the names of children are typed.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; Youths' Labour House; Pacific Ave; Toronto Boys' Home; Barnardo Industrial Farm; SS New England,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1324,Image; Ship manifest; Handwritten; Typed,image/jpeg,eng,Public domain,CC-BY-4.158
coll171,oocihm.lac_reel_c4715.1325.jpg,,,"List of Immigrant Children, 217621, p. 2","Dr. Barnardo's Homes; Hoolihan, John",1902-07-26,"List of Barnardo Home Children traveling from Liverpool to Boston, then sent to distributing homes in Toronto, Peterborough, Winnipeg, and Russel; The names of children are typed.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; Boy's Home; Leopold House; Pacific Ave; Toronto Boys' Home; Barnardo Industrial Farm; SS New England,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1325,Image; Ship manifest; Typed,image/jpeg,eng,Public domain,CC-BY-4.159
coll172,oocihm.lac_reel_c4715.1326.jpg,,,"List of Immigrant Children, 217621, p. 3","Dr. Barnardo's Homes; Hoolihan, John",1902-07-26,"List of Barnardo Home Children traveling from Liverpool to Boston, then sent to distributing homes in Toronto, Peterborough, Winnipeg, and Russel; The names of children are typed.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; Leopold House; Pacific Ave; Toronto Boys' Home; Barnardo Industrial Farm; SS New England,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1326,Image; Ship manifest; Typed,image/jpeg,eng,Public domain,CC-BY-4.160
coll173,oocihm.lac_reel_c4715.1327.jpg,,,"List of Immigrant Children, 217621, p. 4","Dr. Barnardo's Homes; Hoolihan, John",1902-07-26,"List of Barnardo Home Children traveling from Liverpool to Boston, then sent to distributing homes in Toronto, Peterborough, Winnipeg, and Russel; The names of children are typed.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; Leopold House; Pacific Ave; Toronto Boys' Home; Barnardo Industrial Farm; SS New England,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1327,Image; Ship manifest; Typed,image/jpeg,eng,Public domain,CC-BY-4.161
coll174,oocihm.lac_reel_c4715.1328.jpg,,,"List of Immigrant Children, 217621, p. 5","Dr. Barnardo's Homes; Hoolihan, John",1902-07-26,"List of Barnardo Home Children traveling from Liverpool to Boston, then sent to distributing homes in Toronto, Peterborough, Winnipeg, and Russel; The names of children are typed.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; Leopold House; Pacific Ave; Toronto Boys' Home; Barnardo Industrial Farm; SS New England,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1328,Image; Ship manifest; Typed,image/jpeg,eng,Public domain,CC-BY-4.162
